Tabela,Data,Kurs średni,Zmiana
135/A/NBP/2023,2023-07-14,3.9617,-0.27
134/A/NBP/2023,2023-07-13,3.9724,-1.54
133/A/NBP/2023,2023-07-12,4.0347,-0.07
132/A/NBP/2023,2023-07-11,4.0374,-0.63
131/A/NBP/2023,2023-07-10,4.0632,-1.35
130/A/NBP/2023,2023-07-07,4.1189,0
129/A/NBP/2023,2023-07-06,4.1191,0.79
128/A/NBP/2023,2023-07-05,4.0869,0.57
127/A/NBP/2023,2023-07-04,4.0636,-0.19
126/A/NBP/2023,2023-07-03,4.0714,-0.86
125/A/NBP/2023,2023-06-30,4.1066,0.57
124/A/NBP/2023,2023-06-29,4.0832,0.28
123/A/NBP/2023,2023-06-28,4.0719,0.59
122/A/NBP/2023,2023-06-27,4.0481,-0.46
121/A/NBP/2023,2023-06-26,4.0669,-0.55
120/A/NBP/2023,2023-06-23,4.0893,1.4
119/A/NBP/2023,2023-06-22,4.033,-0.78
118/A/NBP/2023,2023-06-21,4.0648,0.17
117/A/NBP/2023,2023-06-20,4.058,-0.25
116/A/NBP/2023,2023-06-19,4.068,-0.09
115/A/NBP/2023,2023-06-16,4.0715,-1.18
114/A/NBP/2023,2023-06-15,4.1203,-0.46
113/A/NBP/2023,2023-06-14,4.1393,-0.11
112/A/NBP/2023,2023-06-13,4.1439,0.66
111/A/NBP/2023,2023-06-12,4.1169,-0.91
110/A/NBP/2023,2023-06-09,4.1545,-0.82
109/A/NBP/2023,2023-06-07,4.1887,-0.18
108/A/NBP/2023,2023-06-06,4.1964,0.07
107/A/NBP/2023,2023-06-05,4.1933,0.07
106/A/NBP/2023,2023-06-02,4.1903,-1.17
105/A/NBP/2023,2023-06-01,4.2399,-0.38
104/A/NBP/2023,2023-05-31,4.2559,0.75
103/A/NBP/2023,2023-05-30,4.2242,0.02
102/A/NBP/2023,2023-05-29,4.2234,0.19
101/A/NBP/2023,2023-05-26,4.2156,0.39
100/A/NBP/2023,2023-05-25,4.1994,1.01
99/A/NBP/2023,2023-05-24,4.1573,-0.15
98/A/NBP/2023,2023-05-23,4.1634,-0.59
97/A/NBP/2023,2023-05-22,4.1881,-0.41
96/A/NBP/2023,2023-05-19,4.2053,0.3
95/A/NBP/2023,2023-05-18,4.1929,1.02
94/A/NBP/2023,2023-05-17,4.1504,0.67
93/A/NBP/2023,2023-05-16,4.1228,-0.63
92/A/NBP/2023,2023-05-15,4.149,-0.36
91/A/NBP/2023,2023-05-12,4.1638,0.54
90/A/NBP/2023,2023-05-11,4.1414,-0.28
89/A/NBP/2023,2023-05-10,4.1532,-0.19
88/A/NBP/2023,2023-05-09,4.1609,0.54
87/A/NBP/2023,2023-05-08,4.1384,-0.55
86/A/NBP/2023,2023-05-05,4.1612,0.16
85/A/NBP/2023,2023-05-04,4.1547,-0.66
84/A/NBP/2023,2023-05-02,4.1823,0.17
83/A/NBP/2023,2023-04-28,4.1753,0.51
82/A/NBP/2023,2023-04-27,4.1541,-0.04
81/A/NBP/2023,2023-04-26,4.1557,-0.22
80/A/NBP/2023,2023-04-25,4.1649,-0.61
79/A/NBP/2023,2023-04-24,4.1905,-0.24
78/A/NBP/2023,2023-04-21,4.2006,-0.04
77/A/NBP/2023,2023-04-20,4.2024,-0.52
76/A/NBP/2023,2023-04-19,4.2244,0.22
75/A/NBP/2023,2023-04-18,4.2151,-0.26
74/A/NBP/2023,2023-04-17,4.2261,0.52
73/A/NBP/2023,2023-04-14,4.2042,-0.43
72/A/NBP/2023,2023-04-13,4.2225,-1.14
71/A/NBP/2023,2023-04-12,4.2713,-0.48
70/A/NBP/2023,2023-04-11,4.2917,-0.03
69/A/NBP/2023,2023-04-07,4.2932,-0.23
68/A/NBP/2023,2023-04-06,4.3033,0.69
67/A/NBP/2023,2023-04-05,4.2739,-0.27
66/A/NBP/2023,2023-04-04,4.2855,-0.73
65/A/NBP/2023,2023-04-03,4.3168,0.55
64/A/NBP/2023,2023-03-31,4.2934,-0.25
63/A/NBP/2023,2023-03-30,4.3043,-0.47
62/A/NBP/2023,2023-03-29,4.3247,-0.12
61/A/NBP/2023,2023-03-28,4.33,-0.5
60/A/NBP/2023,2023-03-27,4.3518,-0.51
59/A/NBP/2023,2023-03-24,4.3742,1.7
58/A/NBP/2023,2023-03-23,4.3011,-1.05
57/A/NBP/2023,2023-03-22,4.3467,-0.57
56/A/NBP/2023,2023-03-21,4.3715,-0.94
55/A/NBP/2023,2023-03-20,4.413,-0.16
54/A/NBP/2023,2023-03-17,4.4202,-0.1
53/A/NBP/2023,2023-03-16,4.4248,0.5
52/A/NBP/2023,2023-03-15,4.403,0.54
